revid	title	toclevel	index	indexInverse	bytes	date	titlesNumber	main category	second category	anchor
539478	Neurological Effects	1	0	6	0	24/12/02 06:25	6	effects	neutral	Neurological_Effects
539478	Long Term Effects	2	0	6	0	24/12/02 06:25	6	effects	neutral	Long_Term_Effects
852042	Neurological Effects	1	0	7	0	25/03/03 16:38	7	effects	neutral	Neurological_Effects
852042	Other Effects	1	0	7	0	25/03/03 16:38	7	effects	neutral	Other_Effects
852042	Long Term Effects	2	0	7	0	25/03/03 16:38	7	effects	neutral	Long_Term_Effects
1365356	Effects	1	0	9	0	24/08/03 00:43	9	effects	neutral	Effects
1365356	Neurological Effects	2	0	9	0	24/08/03 00:43	9	effects	neutral	Neurological_Effects
1365356	Long Term Effects	2	0	9	0	24/08/03 00:43	9	effects	neutral	Long_Term_Effects
1365356	Systemic Effects	2	0	9	0	24/08/03 00:43	9	effects	neutral	Systemic_Effects
4711851	Effects	1	4	9	13	18/07/04 17:04	13	effects	neutral	Effects
4711851	Neurological Effects	2	5	8	1509	18/07/04 17:04	13	effects	neutral	Neurological_Effects
4711851	Long Term Effects	2	7	6	1864	18/07/04 17:04	13	effects	neutral	Long_Term_Effects
4711851	Systemic Effects	2	6	7	1185	18/07/04 17:04	13	effects	neutral	Systemic_Effects
4711851	Safer use	1	10	3	394	18/07/04 17:04	13	safety	positive	Safer_use
4848352	Effects	1	4	8	13	26/07/04 03:30	12	effects	neutral	Effects
4848352	Neurological Effects	2	5	7	1509	26/07/04 03:30	12	effects	neutral	Neurological_Effects
4848352	Long Term Effects	2	7	5	1864	26/07/04 03:30	12	effects	neutral	Long_Term_Effects
4848352	Systemic Effects	2	6	6	935	26/07/04 03:30	12	effects	neutral	Systemic_Effects
4870566	Effects	1	4	9	13	26/07/04 05:02	13	effects	neutral	Effects
4870566	Safety	1	10	3	968	26/07/04 05:02	13	safety	neutral	Safety
4870566	Neurological Effects	2	5	8	1509	26/07/04 05:02	13	effects	neutral	Neurological_Effects
4870566	Long Term Effects	2	7	6	1864	26/07/04 05:02	13	effects	neutral	Long_Term_Effects
4870566	Systemic Effects	2	6	7	935	26/07/04 05:02	13	effects	neutral	Systemic_Effects
6297804	Effects	1	4	9	13	02/10/04 21:09	13	effects	neutral	Effects
6297804	Neurological effects	2	5	8	1569	02/10/04 21:09	13	effects	neutral	Neurological_effects
6297804	Systemic effects	2	6	7	938	02/10/04 21:09	13	effects	neutral	Systemic_effects
6297804	Long-term effects	2	7	6	1864	02/10/04 21:09	13	effects	neutral	Long-term_effects
6297804	Safety	1	10	3	1264	02/10/04 21:09	13	safety	neutral	Safety
12822144	Effects	1	4	13	12	26/04/05 02:29	17	effects	neutral	Effects
12822144	Neurological effects	2	5	12	1883	26/04/05 02:29	17	effects	neutral	Neurological_effects
12822144	Systemic effects	2	7	10	336	26/04/05 02:29	17	effects	neutral	Systemic_effects
12822144	Long-term effects	2	6	11	3651	26/04/05 02:29	17	effects	neutral	Long-term_effects
12822144	Safety	1	11	6	1451	26/04/05 02:29	17	safety	neutral	Safety
12822144	Medical use	2	10	7	584	26/04/05 02:29	17	uses	positive	Medical_use
13735147	Effects	1	5	14	12	12/05/05 21:49	19	effects	neutral	Effects
13735147	Other short-term effects	2	7	12	1431	12/05/05 21:49	19	effects	neutral	Other_short-term_effects
13735147	Neurological effects	2	6	13	631	12/05/05 21:49	19	effects	neutral	Neurological_effects
13735147	Systemic effects	2	9	10	336	12/05/05 21:49	19	effects	neutral	Systemic_effects
13735147	Long-term effects	2	8	11	3651	12/05/05 21:49	19	effects	neutral	Long-term_effects
13735147	Safety	1	13	6	1451	12/05/05 21:49	19	safety	neutral	Safety
13735147	Medical use	2	12	7	657	12/05/05 21:49	19	uses	positive	Medical_use
28268652	Systemic effects	1	1	10	337	14/11/05 04:31	11	effects	neutral	Systemic_effects
