host	value year
ndh.org.uk	1	2001
acde.org	1	2001
ecstasy.org	1	2001
ndh.org.uk	6	2002
acde.org	6	2002
ecstasy.org	6	2002
dancesafe.org	2	2002
erowid.org	1	2002
cbsnews.com	1	2002
msnbc.com	1	2003
pillreports.com	6	2003
thegooddrugsguide.com	6	2003
dancesafe.org	15	2003
erowid.org	10	2003
ndh.org.uk	10	2003
maps.org	6	2003
acde.org	10	2003
cbsnews.com	10	2003
mdma.net	7	2003
washingtonpost.com	4	2003
ecstasy.org	10	2003
wired.com	13	2004
msnbc.com	12	2004
pillreports.com	12	2004
thegooddrugsguide.com	12	2004
dancesafe.org	24	2004
erowid.org	14	2004
ndh.org.uk	12	2004
maps.org	14	2004
acde.org	12	2004
cbsnews.com	12	2004
mdma.net	24	2004
washingtonpost.com	12	2004
thedea.org	11	2004
ecstasy.org	12	2004
idmu.co.uk	8	2005
incb.org	10	2005
ecstasy.org	22	2005
maps.org	42	2005
msn.com	9	2005
fox6.com	9	2005
washingtonpost.com	24	2005
wired.com	24	2005
msnbc.com	12	2005
cbsnews.com	12	2005
dancesafe.org	28	2005
erowid.org	24	2005
pillreports.com	12	2005
thegooddrugsguide.com	12	2005
ndh.org.uk	12	2005
acde.org	12	2005
mdma.net	24	2005
thedea.org	18	2005
cmaj.ca	6	2005
ecstasydata.org	1	2005
ecstasydata.org	12	2006
nih.gov	20	2006
ecstasy.org	32	2006
maps.org	99	2006
idmu.co.uk	12	2006
erowid.org	48	2006
cmaj.ca	12	2006
umd.edu	10	2006
incb.org	13	2006
msn.com	12	2006
dancesafe.org	39	2006
emedicine.com	10	2006
youtube.com	7	2006
fox6.com	12	2006
washingtonpost.com	24	2006
wired.com	24	2006
msnbc.com	12	2006
cbsnews.com	12	2006
guardian.co.uk	14	2006
thedea.org	29	2006
pillreports.com	13	2006
ndh.org.uk	12	2006
acde.org	12	2006
mdma.net	20	2006
bbc.co.uk	5	2006
psychedelic-library.org	3	2006
thegooddrugsguide.com	2	2006
mdma.net	45	2007
ecstasydata.org	14	2007
pillreports.com	12	2007
bbc.co.uk	12	2007
maps.org	81	2007
nih.gov	51	2007
ecstasy.org	24	2007
erowid.org	84	2007
incb.org	15	2007
umd.edu	12	2007
commonchemistry.org	12	2007
psychedelic-library.org	4	2007
cmaj.ca	12	2007
idmu.co.uk	4	2007
msn.com	12	2007
dancesafe.org	45	2007
emedicine.com	12	2007
thedea.org	32	2007
fox6.com	4	2007
washingtonpost.com	8	2007
wired.com	10	2007
msnbc.com	4	2007
cbsnews.com	4	2007
guardian.co.uk	20	2007
ndh.org.uk	4	2007
acde.org	12	2007
findarticles.com	7	2007
weeklywire.com	5	2007
usdoj.gov	12	2007
jneurosci.org	6	2007
wikinews.org	2	2007
sagepub.com	2	2007
google.com	4	2007
prponline.net	2	2007
heffter.org	10	2007
homeoffice.gov.uk	3	2007
london.gov.uk	3	2007
youtube.com	2	2007
clinchem.org	2	2007
newscientist.com	1	2007
nature.com	2	2007
doi.org	4	2007
findarticles.com	12	2008
ecstasy.org	20	2008
nih.gov	141	2008
maps.org	127	2008
washingtonpost.com	23	2008
weeklywire.com	12	2008
mdma.net	33	2008
erowid.org	159	2008
google.com	14	2008
heffter.org	24	2008
thedea.org	74	2008
newscientist.com	11	2008
doi.org	35	2008
sagepub.com	25	2008
usdoj.gov	20	2008
homeoffice.gov.uk	12	2008
london.gov.uk	12	2008
jneurosci.org	13	2008
dancesafe.org	57	2008
wikinews.org	12	2008
wired.com	12	2008
ecstasydata.org	24	2008
prponline.net	12	2008
