substance	wikipedia_id	wikipedia_date	watchlist_date	category
4-HO-DIPT	4-HO-DiPT	24/07/2004	01/03/2005	Psychedelics
4-HO-DET	4-HO-DET	04/11/2004	01/04/2005	Psychedelics
Bromo-Dragonfly	Bromo-DragonFLY	06/11/2004	21/11/2006	Psychedelics
3C-E	3C-E	16/11/2004	06/09/2013	Psychedelics
Escaline	Escaline	16/11/2004	15/07/2013	Psychedelics
HU-210	HU-210	03/02/2005	22/06/2009	Synthetic cannabimimetics
5-MeO-Dalt	5-MeO-DALT	27/04/2005	15/02/2007	Psychedelics
5-MeO-DPT	5-MeO-DPT	16/11/2005	13/09/2010	Psychedelics
2C-G	2C-G	17/11/2005	06/12/2012	Psychedelics
3C-P	3C-P	17/11/2005	06/09/2013	Psychedelics
Proscaline	Proscaline	17/11/2005	07/08/2013	Psychedelics
2C-B-Fly	2C-B-FLY	28/11/2005	05/02/2007	Psychedelics
Adinazolam	Adinazolam	18/02/2006	15/12/2015	Sedatives
Etizolam	Etizolam	21/02/2006	02/12/2011	Sedatives
Phenibut	Phenibut	06/06/2006	08/03/2012	Sedatives
AL-LAD	AL-LAD	05/07/2006	27/03/2015	Psychedelics
5-APDI	5-APDI	02/10/2006	17/09/2012	Empathogens
Phenazepam	Phenazepam	01/12/2006	14/07/2011	Sedatives
Allylescaline	Allylescaline	27/03/2007	08/07/2013	Psychedelics
Etaqualone	Etaqualone	31/03/2007	12/11/2009	Sedatives
Mebroqualone	Mebroqualone	31/03/2007	05/07/2013	Sedatives
Methallylescaline	Methallylescaline	31/03/2007	11/10/2013	Psychedelics
Methylmethaqualone	Methylmethaqualone	31/03/2007	28/10/2014	Sedatives
4-HO-MET	4-HO-MET	09/06/2007	04/06/2008	Psychedelics
Afloqualone	Afloqualone	16/09/2007	20/10/2014	Sedatives
Ethylphenidate	Ethylphenidate	06/10/2007	30/11/2011	Stimulants
Meclonazepam	Meclonazepam	15/11/2007	20/08/2014	Sedatives
MN-18	MN-18	24/11/2007	09/07/2014	Synthetic cannabimimetics
Dimethocaine	Dimethocaine	08/01/2008	21/06/2010	Stimulants
JWH-018	JWH-018	25/03/2008	19/12/2008	Synthetic cannabimimetics
JWH-081	JWH-081	25/03/2008	02/06/2010	Synthetic cannabimimetics
JWH-073	JWH-073	25/03/2008	06/03/2009	Synthetic cannabimimetics
JWH-015	JWH-015	25/03/2008	27/07/2010	Synthetic cannabimimetics
JWH-200	JWH-200	14/04/2008	03/12/2009	Synthetic cannabimimetics
W-18	W-18	15/04/2008	10/09/2014	Sedatives
CP 47,497	CP 47,497	03/05/2008	23/02/2009	Synthetic cannabimimetics
HDMP-28	HDMP-28	07/06/2008	06/03/2015	Stimulants
JTE-907	JTE-907	11/10/2008	04/07/2013	Synthetic cannabimimetics
5-APDB	5-APDB	08/11/2008	05/03/2012	Empathogens
JWH-250	JWH-250	10/12/2008	06/10/2009	Synthetic cannabimimetics
Bromantane	Bromantane	04/03/2009	21/12/2015	Stimulants
MDAI	MDAI	30/03/2009	26/02/2010	Empathogens
4-Benzylpiperidine	4-Benzylpiperidine	01/05/2009	24/10/2011	Stimulants
AM-694	AM-694	15/05/2009	19/07/2010	Synthetic cannabimimetics
25I-NBMD	25I-NBMD	19/05/2009	06/09/2013	Psychedelics
Naphyrone	Naphyrone	11/09/2009	11/06/2010	Stimulants
Buphedrone	Buphedrone	16/09/2009	05/07/2010	Stimulants
25B-NBOMe	25B-NBOMe	17/09/2009	06/12/2012	Psychedelics
JWH-398	JWH-398	05/11/2009	06/10/2009	Synthetic cannabimimetics
Flubromazolam	Flubromazolam	23/12/2009	20/10/2014	Sedatives
3-Fluoromethcathinone	3-Fluoromethcathinone	08/02/2010	20/10/2008	Stimulants
Pentylone	Pentylone	12/02/2010	03/09/2010	Empathogens
4-methylmethylphenidate	4-Methylmethylphenidate	19/03/2010	07/05/2015	Stimulants
JWH-122	JWH-122	22/03/2010	23/07/2010	Synthetic cannabimimetics
JWH-007	JWH-007	22/03/2010	25/05/2011	Synthetic cannabimimetics
A-836,339	A-836,339	22/03/2010	03/06/2013	Synthetic cannabimimetics
AH-7921	AH-7921	29/03/2010	02/08/2012	Sedatives
Eutylone	Eutylone	31/03/2010	12/03/2014	Empathogens
6-APDB	6-APDB	09/04/2010	08/03/2012	Empathogens
3-MeO-PCP	3-MeO-PCP	16/04/2010	29/03/2012	Dissociatives
4-MeO-PCP	4-MeO-PCP	16/04/2010	11/01/2011	Dissociatives
6-APB	6-APB	05/08/2010	30/06/2011	Empathogens
JWH-019	JWH-019	17/08/2010	26/10/2010	Synthetic cannabimimetics
Methoxetamine	Methoxetamine	18/09/2010	09/11/2010	Dissociatives
RCS-4	RCS-4	21/12/2010	25/05/2010	Synthetic cannabimimetics
AM-2201	AM-2201	29/12/2010	18/01/2011	Synthetic cannabimimetics
AM-2233	AM-2233	17/01/2011	05/08/2011	Synthetic cannabimimetics
JWH-251	JWH-251	29/01/2011	22/02/2011	Synthetic cannabimimetics
4-methylethcathinone	4-Methylethcathinone	01/02/2011	08/07/2010	Stimulants
AM-1248	AM-1248	26/02/2011	24/09/2012	Synthetic cannabimimetics
AM-2232	AM-2232	04/03/2011	06/12/2011	Synthetic cannabimimetics
5-APB	5-APB	10/03/2011	14/12/2010	Empathogens
MT-45	MT-45	25/03/2011	05/12/2013	Sedatives
AM-1220	AM-1220	02/07/2011	25/05/2011	Synthetic cannabimimetics
UR-144	UR-144	04/11/2011	01/02/2012	Synthetic cannabimimetics
Camfetamine	Camfetamine	07/01/2012	30/11/2011	Stimulants
4-Ethylmethcathinone	4-Ethylmethcathinone	17/06/2012	07/10/2011	Stimulants
N-Ethylnorketamine	N-Ethylnorketamine	22/10/2012	17/09/2012	Dissociatives
EAM-2201	EAM-2201	29/10/2012	15/02/2013	Synthetic cannabimimetics
N-ethylbuphedrone	N-Ethylbuphedrone	25/11/2012	12/08/2011	Stimulants
DiButylone	Dibutylone	12/12/2012	18/11/2010	Empathogens
AB-FUBINACA	AB-FUBINACA	02/02/2013	04/08/2014	Synthetic cannabimimetics
AB-PINACA	AB-PINACA	02/02/2013	07/04/2015	Synthetic cannabimimetics
5-MAPB	5-MAPB	07/02/2013	03/01/2013	Empathogens
U-47700	U-47700	15/03/2013	13/01/2015	Sedatives
ADBICA	ADBICA	03/04/2013	11/10/2013	Synthetic cannabimimetics
ADB-FUBINACA	ADB-FUBINACA	03/04/2013	28/11/2013	Synthetic cannabimimetics
5-EAPB	5-EAPB	23/05/2013	11/07/2013	Empathogens
SDB-006	SDB-006	01/06/2013	19/12/2013	Synthetic cannabimimetics
6-MAPB	6-MAPB	10/07/2013	10/09/2013	Empathogens
25D-NBOMe	25D-NBOMe	10/07/2013	16/04/2012	Psychedelics
5-MAPDB	5-MAPDB	11/07/2013	16/12/2015	Empathogens
4-AcO-DALT	4-AcO-DALT	20/07/2013	20/04/2012	Psychedelics
Pyrazolam	Pyrazolam	24/07/2013	22/08/2012	Sedatives
Acetylfentanyl	Acetylfentanyl	04/09/2013	19/09/2014	Sedatives
NSI-189	NSI-189	15/09/2013	13/01/2015	Nootropics
Diclazepam	Diclazepam	30/09/2013	26/08/2013	Sedatives
Diphenidine	Diphenidine	15/10/2013	16/01/2014	Dissociatives
Flubromazepam	Flubromazepam	22/10/2013	07/03/2013	Sedatives
25N-NBOMe	25N-NBOMe	03/02/2014	06/12/2012	Psychedelics
25E-NBOMe	25E-NBOMe	21/02/2014	06/12/2012	Psychedelics
Nitracaine	Nitracaine	19/03/2014	13/08/2013	Stimulants
AB-CHMINACA	AB-CHMINACA	05/07/2014	10/04/2014	Synthetic cannabimimetics
ADB-PINACA	ADB-PINACA	09/07/2014	03/12/2013	Synthetic cannabimimetics
5F-MDMB-PINACA	5F-ADB	18/12/2014	08/01/2015	Synthetic cannabimimetics
Clonazolam	Clonazolam	19/01/2015	13/01/2015	Sedatives
1p-LSD	1P-LSD	20/01/2015	06/03/2015	Psychedelics
Isopropylphenidate	Isopropylphenidate	13/04/2015	06/03/2015	Stimulants
Furanylfentanyl	Furanylfentanyl	15/05/2015	03/11/2015	Sedatives
6-EAPB	6-EAPB	14/06/2015	28/10/2013	Empathogens
Propylphenidate	Propylphenidate	15/06/2015	12/06/2015	Stimulants
ADB-CHMINACA	ADB-CHMINACA	16/06/2015	12/09/2014	Synthetic cannabimimetics
5-MeO-DIBF	5-MeO-DiBF	19/06/2015	23/12/2015	Psychedelics
3-MeO-PCMo	3-MeO-PCMo	20/06/2015	07/08/2015	Dissociatives
5F-AMB	5F-AMB	22/06/2015	18/06/2014	Synthetic cannabimimetics
Mepirapim	MEPIRAPIM	23/06/2015	25/02/2014	Synthetic cannabimimetics
5F-SDB-006	5F-SDB-006	24/06/2015	19/12/2013	Synthetic cannabimimetics
APP-CHMINACA	PX-3	24/06/2015	14/04/2015	Synthetic cannabimimetics
Ethylnaphthidate	HDEP-28	25/06/2015	18/06/2015	Stimulants
SDB-005	SDB-005	27/06/2015	31/03/2015	Synthetic cannabimimetics
4-Methylpentedrone	4-Methylpentedrone	27/06/2015	03/06/2014	Stimulants
MDMB-CHMICA	MDMB-CHMICA	29/06/2015	12/09/2014	Synthetic cannabimimetics
5F-AB-PINACA	5F-AB-PINACA	05/07/2015	05/07/2013	Synthetic cannabimimetics
FUB-JWH-018	FUB-JWH-018	08/07/2015	12/06/2015	Synthetic cannabimimetics
CUMYL-PICA	CUMYL-PICA	08/07/2015	23/09/2014	Synthetic cannabimimetics
NM-2201	NM-2201	09/07/2015	04/09/2014	Synthetic cannabimimetics
CUMYL-THPINACA	CUMYL-THPINACA	11/07/2015	23/09/2014	Synthetic cannabimimetics
CUMYL-PINACA	CUMYL-PINACA	11/07/2015	23/09/2014	Synthetic cannabimimetics
APP-FUBINACA	APP-FUBINACA	16/07/2015	06/11/2014	Synthetic cannabimimetics
4-methylbuphedrone	4-Methylbuphedrone	16/07/2015	01/11/2011	Stimulants
5F-ADB-PINACA	5F-ADB-PINACA	17/07/2015	31/03/2015	Synthetic cannabimimetics
Deschloroetizolam	Deschloroetizolam	19/07/2015	04/09/2014	Sedatives
5-MeO-EIPT	5-MeO-EiPT	20/07/2015	13/10/2014	Psychedelics
AMB-FUBINACA	AMB-FUBINACA	21/07/2015	10/12/2014	Synthetic cannabimimetics
AMB-CHMINACA	AMB-CHMINACA	21/07/2015	28/05/2015	Synthetic cannabimimetics
5F-PCN	5F-PCN	22/07/2015	17/12/2015	Synthetic cannabimimetics
FUB-144	FUB-144	22/07/2015	09/02/2015	Synthetic cannabimimetics
FDU-PB-22	FDU-PB-22	23/07/2015	12/02/2014	Synthetic cannabimimetics
FUB-PB-22	FUB-PB-22	23/07/2015	19/12/2013	Synthetic cannabimimetics
5F-AB-FUPPYCA	5F-AB-FUPPYCA	23/07/2015	12/06/2015	Synthetic cannabimimetics
ADAMANTYL-THPINACA	ADAMANTYL-THPINACA	24/07/2015	14/01/2015	Synthetic cannabimimetics
Nifoxipam	Nifoxipam	31/07/2015	13/01/2015	Sedatives
5F-EMB-PINACA	5F-EMB-PINACA	10/08/2015	17/06/2015	Synthetic cannabimimetics
Metizolam	Metizolam	13/09/2015	18/12/2015	Sedatives
Methamnetamine	Methamnetamine	16/09/2015	06/08/2015	Empathogens
4-fluoromethylphenidate	4-Fluoromethylphenidate	28/09/2015	04/12/2015	Stimulants
Deschloroketamine	Deschloroketamine	02/10/2015	10/03/2015	Dissociatives
Methoxypiperamide	Methoxypiperamide	13/10/2015	11/09/2013	Piperazines
Mexedrone	Mexedrone	16/10/2015	11/09/2015	Stimulants
5-MeO-MALT	5-MeO-MALT	19/10/2015	26/05/2014	Psychedelics
5-DBFPV	5-DBFPV	25/11/2015	04/02/2015	Stimulants
Nitrazolam	Nitrazolam	13/01/2016	21/12/2015	Sedatives
4-MeO-BF	4-Methoxybutyrfentanyl	06/02/2016	14/08/2015	Sedatives
2-FMA	2-FMA	07/03/2010	12/03/2012	Stimulants
3-FMA	3-FMA	08/10/2010	17/11/2009	Stimulants
3,4-dichloromethylphenidate	3,4-Dichloromethylphenidate	19/03/2010	17/04/2013	Stimulants
3,4-Dimethylmethcathinone	3,4-Dimethylmethcathinone	03/10/2011	13/10/2010	Stimulants
4-AcO-DMT	4-AcO-DMT	28/08/2006	17/08/2009	Psychedelics
4-AcO-MET	4-AcO-MET	18/12/2011	24/04/2009	Psychedelics
4-CMA	4-CMA	23/08/2015	14/09/2015	Empathogens
4-FMA	4-FMA	09/12/2007	24/03/2010	Empathogens
4-MA	4-MA	20/07/2004	14/12/2009	Empathogens
5F-AMB-PICA	5F-AMB-PICA	16/07/2015	05/12/2014	Synthetic cannabimimetics
AM-679	AM-679	10/02/2011	27/01/2012	Synthetic cannabimimetics
DIPT	DiPT	30/09/2004	01/04/2005	Psychedelics
DOI	DOI	07/01/2004	21/11/2006	Psychedelics
DOIP	DOiPR	27/06/2015	21/05/2015	Psychedelics
DOPR	DOPR	30/03/2007	10/09/2015	Psychedelics
JWH-182	JWH-182	22/03/2010	01/03/2011	Synthetic cannabimimetics
LSZ	LSZ	23/10/2008	10/12/2013	Psychedelics
TMA-6	TMA-6	21/03/2005	03/06/2009	Psychedelics
